Date,AAPL,ABBV,ABT,ADBE,AMD,AMGN,AMZN,AXISBANK.NS,AXP,BAC,BAJAJ-AUTO.NS,BAJFINANCE.NS,BLK,BMY,BP,BPCL.NS,BRITANNIA.NS,C,CMCSA,COF,COFORGE.NS,COP,COST,CRM,CVX,DABUR.NS,DIS,EICHERMOT.NS,EOG,GAIL.NS,GILD,GOOGL,GS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDUNILVR.NS,ICICIBANK.NS,ICICIGI.NS,INDUSINDBK.NS,INFY.NS,INTC,IOC.NS,ITC.NS,JNJ,JPM,KO,KOTAKBANK.NS,LYFT,MARUTI.NS,MCD,META,MPC,MPHASIS.NS,MRK,MS,MSFT,NESTLEIND.NS,NFLX,NKE,NVDA,OFSS.NS,ONGC.NS,ORCL,PERSISTENT.NS,PFE,PG,PSX,PYPL,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SBUX,SCHW,SHOP,SLB,SNAP,TCS.NS,TECHM.NS,TGT,TMO,TSLA,UBER,UNH,VLO,WFC,WIPRO.NS,WMT,XOM
2023-01-03,122.98272705078125,143.1351776123047,102.20801544189453,336.9200134277344,64.0199966430664,236.09393310546875,85.81999969482422,959.7573852539062,140.9738006591797,30.800151824951172,3380.92578125,650.52978515625,658.6997680664062,61.89292526245117,28.943817138671875,141.85195922851562,4063.509765625,40.64421463012695,29.830663681030273,87.927490234375,771.6193237304688,101.0418930053711,433.82330322265625,132.82981872558594,151.90127563476562,541.825439453125,86.92301177978516,3103.299072265625,109.5038070678711,84.03424835205078,76.40445709228516,88.38945770263672,319.4132385253906,902.8213500976562,788.8023681640625,589.9998168945312,2400.68408203125,2406.02001953125,879.5739135742188,1240.3656005859375,1214.0062255859375,1396.372314453125,25.775144577026367,65.19227600097656,280.9262390136719,161.79576110839844,124.29261016845703,57.126346588134766,365.4460754394531,11.119999885559082,8138.8037109375,245.24038696289062,123.76873016357422,103.38676452636719,1873.2681884765625,100.68342590332031,76.61744689941406,233.4528350830078,953.4891357421875,29.4950008392334,111.86959075927734,14.299908638000488,2533.65625,125.23546600341797,80.17583465576172,1972.0184326171875,41.69425582885742,138.4810791015625,89.89920806884766,74.18338775634766,1167.28466796875,1259.0096435546875,568.93359375,93.15757751464844,77.89643096923828,35.68000030517578,47.490379333496094,8.850000381469727,2977.665771484375,933.424560546875,134.06610107421875,547.7261962890625,108.0999984741211,25.360000610351562,487.1922912597656,108.80220794677734,38.23116683959961,185.24513244628906,45.96516036987305,95.43421173095703
2023-01-04,124.25118255615234,144.28990173339844,103.72834777832031,341.4100036621094,64.66000366210938,238.56631469726562,85.13999938964844,954.9202270507812,144.25094604492188,31.379201889038086,3335.0703125,647.05859375,667.8211669921875,62.201271057128906,28.4884033203125,141.62034606933594,4056.9482421875,41.69184112548828,30.686077117919922,90.60401153564453,758.1242065429688,101.23839569091797,436.9624938964844,137.57022094726562,150.2861328125,540.859375,89.86376953125,3105.03759765625,109.42460632324219,82.81887817382812,76.50289154052734,87.35798645019531,320.7785949707031,898.7032470703125,774.7041625976562,592.9715576171875,2390.888427734375,2400.38818359375,877.3782958984375,1222.312255859375,1196.5438232421875,1370.922119140625,26.691211700439453,64.8600845336914,277.4475402832031,163.55728149414062,125.45165252685547,57.09912109375,363.03350830078125,11.489999771118164,8177.6884765625,245.29612731933594,126.37825775146484,103.06985473632812,1875.18408203125,101.53498077392578,77.4487075805664,223.24082946777344,943.4647216796875,30.94099998474121,114.18704986572266,14.733449935913086,2546.19970703125,122.47197723388672,80.90364837646484,1913.5966796875,40.77513885498047,139.0840606689453,89.58777618408203,77.27684783935547,1149.7095947265625,1249.7288818359375,562.2445678710938,96.51136016845703,79.23685455322266,37.540000915527344,47.674808502197266,9.300000190734863,2980.632568359375,930.2335205078125,134.9408721923828,556.3800048828125,113.63999938964844,25.90999984741211,473.9096984863281,108.42154693603516,39.0179328918457,181.8159637451172,46.0163688659668,95.71196746826172
2023-01-05,122.93356323242188,144.11358642578125,103.3459243774414,328.44000244140625,62.33000183105469,240.7950439453125,83.12000274658203,947.0411376953125,140.79896545410156,31.31486701965332,3399.18359375,600.6832885742188,648.708740234375,62.08902359008789,28.5896053314209,144.16806030273438,4131.8603515625,41.505401611328125,31.013160705566406,88.88269805908203,754.3232421875,104.3021469116211,430.8659362792969,134.36724853515625,152.9925994873047,553.3218383789062,89.80513763427734,3146.032470703125,109.44219970703125,84.51171112060547,76.81604766845703,85.4933853149414,317.1436462402344,905.2056274414062,769.7240600585938,603.7196044921875,2441.93994140625,2445.44091796875,857.9103393554688,1249.5635986328125,1189.4512939453125,1352.9462890625,26.57549476623535,65.69055938720703,282.9201354980469,162.34967041015625,125.4238510131836,56.44573974609375,362.9437561035156,11.359999656677246,8214.873046875,243.22714233398438,125.95160675048828,107.87008666992188,1881.7734375,102.94821166992188,76.79621887207031,216.62445068359375,955.843017578125,30.969999313354492,113.63124084472656,14.249964714050293,2539.822509765625,122.68133544921875,80.7408447265625,1913.840087890625,40.39284896850586,137.35726928710938,91.66995239257812,75.86439514160156,1147.6552734375,1258.26513671875,562.1517944335938,96.483642578125,79.00869750976562,35.95000076293945,48.56928634643555,9.140000343322754,2977.440673828125,922.3471069335938,136.3015594482422,551.4490966796875,110.33999633789062,25.549999237060547,460.25128173828125,114.73902893066406,38.80751037597656,180.5096435546875,45.859527587890625,97.85343170166016
2023-01-06,127.456787109375,146.8109588623047,104.77301025390625,332.75,63.959999084472656,248.32044982910156,86.08000183105469,937.4166870117188,144.3951416015625,31.62736701965332,3418.990234375,588.901123046875,682.715087890625,63.021400451660156,29.061885833740234,145.15768432617188,4175.78173828125,42.0025749206543,31.77631950378418,91.80510711669922,748.8618774414062,105.60629272460938,462.1431884765625,138.4769287109375,154.14498901367188,534.0968017578125,91.75911712646484,3139.176025390625,112.16111755371094,84.4249038696289,78.81140899658203,86.6240463256836,321.1291198730469,895.4088134765625,767.1738891601562,605.8989868164062,2420.23095703125,2438.57861328125,849.078857421875,1244.37744140625,1156.2384033203125,1328.458984375,27.70370101928711,66.4795150756836,284.27764892578125,163.66622924804688,127.82389831542969,57.53472137451172,356.2642822265625,11.9399995803833,8139.09521484375,250.0092010498047,129.0076446533203,108.88604736328125,1848.4072265625,104.03530883789062,78.26204681396484,219.17747497558594,961.1234130859375,31.55500030517578,117.31468963623047,14.843335151672363,2530.9111328125,123.39315795898438,82.03370666503906,1876.069580078125,41.41770935058594,140.62811279296875,94.0546875,76.07328796386719,1158.0863037109375,1259.6549072265625,558.0177001953125,98.57166290283203,80.36813354492188,36.849998474121094,50.256813049316406,9.220000267028809,2887.922119140625,899.0980224609375,141.50582885742188,529.7254638671875,113.05999755859375,26.399999618530273,460.28887939453125,115.61821746826172,39.1551628112793,178.2235107421875,46.98304748535156,99.0361557006836
2023-01-09,127.97795867919922,142.50048828125,104.6051025390625,341.9800109863281,67.23999786376953,243.7366485595703,87.36000061035156,956.216796875,144.61631774902344,31.149423599243164,3398.80810546875,590.1763916015625,696.5821533203125,61.303428649902344,29.323328018188477,146.02098083496094,4180.8115234375,42.2067756652832,31.491182327270508,92.16449737548828,771.1970825195312,104.82917022705078,458.20001220703125,144.9716033935547,152.94020080566406,530.9088134765625,92.58956909179688,3150.716064453125,112.40747833251953,85.46664428710938,76.14498901367188,87.29847717285156,325.6682434082031,925.449462890625,768.6654663085938,602.72900390625,2428.879150390625,2483.631591796875,852.2503662109375,1233.6138916015625,1192.1905517578125,1361.4298095703125,28.262981414794922,66.52102661132812,286.82305908203125,159.4259033203125,127.29570770263672,56.817813873291016,361.2689208984375,12.699999809265137,8133.2216796875,247.94956970214844,128.46189880371094,107.89803314208984,1868.781982421875,99.99493408203125,78.33357238769531,221.3114471435547,970.8117065429688,31.517000198364258,117.61615753173828,15.611526489257812,2539.7802734375,124.06307983398438,83.07186126708984,1945.6934814453125,39.359832763671875,138.91046142578125,90.77122497558594,76.67008972167969,1185.430419921875,1296.6787109375,564.5671997070312,96.77005004882812,81.21419525146484,37.189998626708984,51.30805206298828,9.199999809265137,2985.39892578125,925.6292724609375,138.14825439453125,540.7061767578125,119.7699966430664,27.399999618530273,460.3452453613281,116.54273986816406,38.78007507324219,182.79574584960938,46.397274017333984,97.19039916992188
2023-01-10,128.5482635498047,140.71987915039062,106.19074249267578,338.70001220703125,68.05000305175781,247.12940979003906,89.87000274658203,949.63427734375,146.15476989746094,31.360820770263672,3355.11181640625,581.3927001953125,700.5508422851562,61.85594177246094,29.390785217285156,146.27365112304688,4144.9365234375,42.783851623535156,31.767940521240234,93.15754699707031,762.9520263671875,105.4722900390625,460.73626708984375,145.30667114257812,153.69102478027344,535.7874755859375,93.36138153076172,3058.972900390625,112.2843017578125,85.16281127929688,77.9703140258789,87.69519805908203,329.6906433105469,922.3281860351562,754.6154174804688,594.5565795898438,2393.3154296875,2502.3720703125,840.540283203125,1215.0220947265625,1200.897216796875,1347.947998046875,28.388338088989258,66.93626403808594,282.87774658203125,159.04452514648438,128.435546875,56.3822135925293,358.0089111328125,13.3100004196167,8051.8115234375,249.48968505859375,131.95448303222656,108.58778381347656,1858.73486328125,100.38448333740234,79.4776382446289,222.99722290039062,967.8272094726562,32.75400161743164,118.54879760742188,15.892230033874512,2550.84521484375,125.0679931640625,83.14875793457031,1930.2296142578125,38.73352813720703,138.77342224121094,90.37972259521484,77.50562286376953,1167.90087890625,1292.9564208984375,552.9080200195312,97.9341812133789,81.39484405517578,36.5,51.60313415527344,9.420000076293945,2955.2294921875,914.1415405273438,137.81248474121094,562.4296875,118.8499984741211,28.040000915527344,456.5314636230469,119.6516342163086,38.752628326416016,183.37892150878906,46.36846923828125,98.64192199707031
2023-01-11,131.26220703125,138.54261779785156,105.53783416748047,342.92999267578125,69.05999755859375,246.25413513183594,95.08999633789062,947.2406616210938,148.00096130371094,31.599794387817383,3321.177490234375,580.5654907226562,699.2926635742188,62.10628890991211,29.551029205322266,148.4423828125,4132.91357421875,43.24551773071289,31.826641082763672,96.26911163330078,755.599853515625,105.61519622802734,463.5213623046875,142.80340576171875,152.95770263671875,529.7494506835938,94.11368560791016,3029.71142578125,111.61556243896484,84.46831512451172,78.0150375366211,90.76979064941406,336.2593688964844,914.482177734375,765.4898071289062,594.2098388671875,2377.166015625,2454.479736328125,845.3706665039062,1215.2666015625,1186.9075927734375,1349.3236083984375,28.783693313598633,69.38616943359375,281.5201721191406,158.79029846191406,129.38998413085938,56.2733154296875,359.26507568359375,13.84000015258789,8043.3642578125,249.39688110351562,131.8552703857422,109.61309051513672,1896.3533935546875,100.62003326416016,79.93347930908203,229.74024963378906,954.9874267578125,32.72600173950195,120.52713012695312,15.984130859375,2575.087890625,122.93260192871094,85.16741180419922,1912.3790283203125,38.59525680541992,137.64964294433594,90.24623107910156,78.12232971191406,1153.178955078125,1281.740234375,554.3479614257812,98.21136474609375,79.30339050292969,36.439998626708984,51.93510818481445,9.65999984741211,2993.26708984375,917.514892578125,140.46324157714844,576.81640625,123.22000122070312,28.350000381469727,463.482666015625,121.0927734375,39.10026931762695,183.75218200683594,46.77497482299805,99.78881072998047
2023-01-12,131.18356323242188,135.45481872558594,104.3385238647461,344.5400085449219,70.80000305175781,244.45852661132812,95.2699966430664,933.078125,148.9624786376953,31.68252182006836,3351.450439453125,580.8264770507812,697.4795532226562,61.81277847290039,29.778728485107422,145.30508422851562,4118.49658203125,43.582889556884766,32.44723892211914,95.54086303710938,749.4760131835938,107.33021545410156,461.7220153808594,147.43539428710938,154.5989990234375,526.4647827148438,97.51361083984375,2996.876708984375,114.7832260131836,84.03424835205078,76.69975280761719,90.38298034667969,341.296630859375,929.0906982421875,769.5797729492188,592.7734985351562,2377.607421875,2451.451416015625,839.8572387695312,1211.8419189453125,1182.896728515625,1357.8988037109375,29.207975387573242,67.76673889160156,279.8656311035156,157.9912567138672,129.26022338867188,55.547325134277344,354.80877685546875,14.550000190734863,8125.64892578125,247.4300079345703,135.64552307128906,112.7914810180664,1882.7078857421875,101.254150390625,80.91666412353516,232.41017150878906,960.5433959960938,33.01300048828125,120.48001861572266,16.493593215942383,2580.029052734375,122.38824462890625,85.34043884277344,1937.5838623046875,38.806732177734375,136.87303161621094,91.52760314941406,79.35572814941406,1128.2769775390625,1305.9593505859375,552.6757202148438,97.79559326171875,79.36043548583984,36.7599983215332,53.484310150146484,9.640000343322754,2998.347900390625,913.138671875,141.15245056152344,575.806640625,123.55999755859375,29.030000686645508,465.61505126953125,122.6517562866211,39.1826057434082,184.05545043945312,46.35246658325195,101.44644165039062
2023-01-13,132.51100158691406,136.68283081054688,106.35298156738281,344.3800048828125,71.0,245.18939208984375,98.12000274658203,931.6818237304688,149.77015686035156,32.38106155395508,3384.30517578125,588.6452026367188,697.50732421875,62.59838104248047,29.98956871032715,147.43170166015625,4153.79736328125,44.31977081298828,32.64851379394531,97.27162170410156,745.6847534179688,108.50033569335938,464.4209899902344,147.34669494628906,155.01805114746094,525.2572631835938,97.11304473876953,3053.6611328125,114.63710021972656,83.42656707763672,77.19185638427734,91.3648681640625,345.04229736328125,934.422607421875,770.1812133789062,598.816162109375,2407.7880859375,2483.58447265625,852.3479614257812,1228.1829833984375,1207.5985107421875,1379.0384521484375,29.034404754638672,68.34808349609375,278.9323425292969,157.4736785888672,132.5220947265625,55.74697494506836,354.96826171875,14.489999771118164,8207.3994140625,249.47109985351562,135.9134063720703,113.64900970458984,1902.19482421875,101.68900299072266,81.92669677734375,233.11172485351562,956.24658203125,33.28200149536133,121.38439178466797,16.88118553161621,2604.651611328125,123.05817413330078,85.74415588378906,1951.0751953125,38.92061233520508,137.8506622314453,91.6788558959961,79.05732727050781,1126.4510498046875,1303.2298583984375,557.506591796875,99.07059478759766,78.88511657714844,38.88999938964844,53.74250793457031,9.800000190734863,3034.4970703125,914.5975341796875,145.4378204345703,578.083984375,122.4000015258789,29.440000534057617,459.8849792480469,123.38594055175781,40.45423126220703,183.77549743652344,46.506099700927734,101.38372802734375
2023-01-17,133.67129516601562,135.99761962890625,106.24052429199219,344.3800048828125,71.58999633789062,243.10508728027344,96.05000305175781,915.2753295898438,147.83750915527344,31.72848129272461,3385.85400390625,589.3491821289062,693.5662231445312,62.425716400146484,30.099205017089844,146.71578979492188,4178.65625,44.6660270690918,32.65690612792969,98.0093002319336,752.125244140625,107.40167236328125,465.875732421875,146.32176208496094,157.57608032226562,537.6713256835938,97.61131286621094,3070.94775390625,115.16838836669922,84.59852600097656,76.42235565185547,90.54167175292969,322.82672119140625,963.24951171875,774.1508178710938,603.7196044921875,2441.675048828125,2524.803955078125,844.24853515625,1222.458740234375,1203.6363525390625,1411.9176025390625,28.542621612548828,67.76673889160156,281.9019470214844,156.5021514892578,130.47415161132812,55.973846435546875,358.42767333984375,14.350000381469727,8232.5927734375,254.3141326904297,134.3060302734375,113.49987030029297,1908.0361328125,100.05833435058594,86.77115631103516,234.20309448242188,964.0475463867188,32.62200164794922,120.71553802490234,17.68334197998047,2644.266845703125,123.81185150146484,85.16741180419922,1936.853271484375,37.480918884277344,137.44863891601562,91.21614837646484,79.75360107421875,1131.56396484375,1288.8370361328125,550.8640747070312,98.62711334228516,79.36994171142578,39.97999954223633,53.90849304199219,9.670000076293945,3107.01318359375,953.7105102539062,143.22886657714844,582.0643310546875,131.49000549316406,29.200000762939453,455.6672058105469,124.72734832763672,40.36274337768555,184.91856384277344,46.22442626953125,101.18659973144531
